Washington, D.C. Total				4178 	2224 	3145 	743 	390.59538373 	544.69878756 	555.59302945 	515 	2.8035264126 	-1.115057784 	-7.306252473

Ward 1 				440 	171 	253 	58 	390.91585911 	631.85059357 	591.17038917 	556.95 	3.60322914 	-2.491974531 	-5.788583088
	1 		Kalorama Hts./Adams Morgan    	40 	18 	27 	8 	1410.091638 	1515.6249211 	1111.7924912 	- 	- 	- 	-
	2 		Columbia Hts./Mt. Pleasant    	307 	100 	168 	38 	339.70389462 	574.65722087 	539.47203833 	515 	4.2487053667 	-2.168283796 	-4.536294116
	3 		Howard Univ./Le Droit Pk.     	119 	61 	76 	16 	487.12256586 	680.87348445 	706.49359212 	641 	2.7831629434 	-1.199686739 	-9.270231584

Ward 2 				295 	149 	196 	41 	910.15005727 	1290.9361265 	1167.3821157 	1260 	3.3060495754 	-0.483943476 	7.9338104483
	4 		Georgetown/Burleith           	242 	149 	163 	39 	890.92153494 	1094.844563 	1046.0956621 	1215 	3.1510568899 	2.1044716551 	16.146165591
	6 		Dupont Circle/Conn. Av./K St. 	32 	17 	17 	3 	783.24180985 	925.98793885 	1076.4172755 	- 	- 	- 	-
	7 		Shaw/Logan Circle             	97 	41 	48 	4 	425.59129439 	588.27469056 	669.34961571 	- 	- 	- 	-

Ward 3 				674 	426 	512 	89 	871.6930126 	953.22287823 	924.80920857 	976.1 	1.13770042 	0.4754525809 	5.5460943684
	11 		Friendship Hts./AU Pk.        	173 	139 	135 	27 	794.77892325 	913.45986673 	862.90258122 	925 	1.5288668527 	0.2514014082 	7.1963417581
	12 		N. Cleveland Pk./Forest Hills 	82 	43 	58 	8 	926.81477663 	925.98793885 	885.39111115 	- 	- 	- 	-
	13 		Spring Valley/Palisades       	212 	107 	176 	28 	964.31039519 	1198.3373326 	1020.3222908 	1093.5 	1.2651927974 	-1.814368076 	7.172019067
	14 		Cathedral Hts./Glover Pk.     	20 	14 	10 	3 	818.17362543 	1124.2582975 	1008.1936454 	- 	- 	- 	-
	15 		Cleveland Pk./Woodley Pk.     	83 	55 	67 	11 	1049.8773196 	1043.0981782 	1238.132547 	1400 	2.9198034591 	6.062184983 	13.073515708

Ward 4 				746 	365 	612 	144 	371.75143184 	517.46384818 	482.29052907 	485.25 	2.7002000148 	-1.277281469 	0.6136282497
	10 		Hawthorne/Barnaby Woods       	178 	113 	134 	20 	833.23596793 	939.06070975 	851.27929608 	810 	-0.282426715 	-2.913628575 	-4.849089631
	16 		Colonial Village/Shepherd Pk. 	50 	28 	39 	8 	693.82918099 	726.6281826 	721.65439882 	- 	- 	- 	-
	17 		Takoma/Brightwood             	172 	80 	136 	43 	338.35789805 	423.44883745 	391.65417303 	340 	0.0484258451 	-4.294786939 	-13.1887202
	18 		Brightwood Pk./Crestwood      	367 	154 	316 	74 	323.03917526 	448.28710216 	464.42604518 	499.45 	4.4536649154 	2.185001286 	7.5413416599
	19 		Lamond Riggs/Queens Chapel    	65 	34 	51 	9 	228.17846506 	326.81927253 	267.84091833 	- 	- 	- 	-

Ward 5 				668 	282 	559 	156 	269.19931271 	405.80059673 	402.77209794 	457.5 	5.446389777 	2.4272902404 	13.587808674
	20 		N. Michigan Pk./Michigan Pk.  	96 	55 	70 	14 	272.40406644 	386.73613917 	350.6189229 	313.1 	1.4020997551 	-4.136415918 	-10.70076954
	21 		Edgewood/Bloomingdale         	231 	68 	202 	72 	320.47537228 	422.14156036 	493.2315779 	627.008 	6.9418867863 	8.2338218692 	27.122436618
	22 		Brookland/Brentwood           	94 	31 	62 	15 	294.8373425 	413.97107854 	418.18558475 	460 	4.5484345606 	2.1309957454 	9.9990092384
	23 		Ivy City/Trinidad             	88 	26 	71 	17 	179.46620848 	337.1685495 	267.73984628 	350 	6.9075890732 	0.7498010812 	30.72391161
	24 		Woodridge/Fort Lincoln        	131 	87 	130 	34 	282.01832761 	479.22599329 	402.26673771 	403.745 	3.6532640032 	-3.369693257 	0.3674831018

Ward 6 				762 	413 	621 	123 	400.75445304 	566.48673906 	630.68955863 	635 	4.7103320631 	2.3096962979 	0.6834489826
	9 		SW Employment Area/Waterfront 	20 	15 	10 	1 	425.59129439 	708.10842382 	699.6712291 	- 	- 	- 	-
	25 		NoMa/Union Station/Stanton Pk.	420 	210 	336 	82 	365.3419244 	515.28505303 	555.89624559 	592 	4.9451129895 	2.8146099698 	6.4946929757
	26 		Capitol Hill/Lincoln Pk.      	238 	159 	194 	36 	483.2768614 	599.16866631 	639.53336254 	720 	4.0671472094 	3.7424930896 	12.582085967
	27 		Near Southeast/Navy Yard      	33 	16 	75 	8 	333.29438717 	498.39939061 	784.3190665 	- 	- 	- 	-

Ward 7 				389 	234 	291 	100 	176.26145475 	325.72987496 	236.00322426 	230.475 	2.7180218995 	-6.684616288 	-2.342435905
	30 		Mayfair/Hillbrook             	28 	7 	11 	3 	161.51958763 	- 	212.25129377 	- 	- 	- 	-
	31 		Deanwood/Burrville            	104 	45 	81 	30 	162.48101375 	283.24336953 	207.19769154 	222.445 	3.1910431756 	-4.717623808 	7.3588215923
	32 		River Terrace/Benning         	49 	29 	28 	10 	171.64660939 	256.00843015 	214.77809489 	192.5 	1.1531823382 	-5.542750879 	-10.37261034
	33 		Capitol View/Marshall Hts.    	84 	98 	80 	32 	162.80148912 	348.7570162 	257.73371386 	219.5 	3.0333012617 	-8.84461824 	-14.83457996
	34 		Twining/Fairlawn              	88 	35 	66 	14 	203.5018614 	299.58433316 	247.6265094 	246.1 	1.9188049673 	-3.856815458 	-0.616456373
	35 		Fairfax Village/Naylor Gardens	33 	15 	14 	8 	333.29438717 	473.88794517 	328.4336091 	- 	- 	- 	-

Ward 8 				204 	184 	101 	32 	173.62778814 	322.52650139 	217.304896 	202.5 	1.5501523941 	-8.888766906 	-6.812960165
	28 		Historic Anacostia            	18 	18 	17 	2 	155.11008018 	283.24336953 	207.19769154 	- 	- 	- 	-
	37 		Sheridan/Barry Farm           	33 	21 	18 	2 	174.22323139 	324.64047738 	302.10434146 	- 	- 	- 	-
	38 		Douglas/Shipley Terrace       	18 	71 	15 	7 	177.86383162 	348.60722404 	219.32633689 	- 	- 	- 	-
