Washington, D.C. Total				2833 	2793 	2273 	523 	311.50206186 	397.63011492 	383.97269763 	405 	2.6595626523 	0.3679724313 	5.4762493523

Ward 1 				553 	536 	565 	123 	320.47537228 	435.65009029 	419.34791326 	413 	2.5688624825 	-1.062154534 	-1.513758161
	1 		Kalorama Hts./Adams Morgan    	306 	166 	205 	46 	384.50635166 	436.03137944 	431.74035666 	479.25 	2.2270575157 	1.9081400721 	11.004216449
	2 		Columbia Hts./Mt. Pleasant    	219 	254 	263 	65 	274.96786942 	386.19144038 	389.12737191 	390 	3.5567151063 	0.1964633985 	0.2242525592
	3 		Howard Univ./Le Droit Pk.     	76 	142 	114 	20 	344.83150057 	513.051788 	484.64045411 	461.75 	2.9627176908 	-2.085019958 	-4.723182704

Ward 2 				1104 	796 	676 	188 	372.39238259 	460.81517427 	444.71699647 	428 	1.4014809945 	-1.466615737 	-3.759019017
	4 		Georgetown/Burleith           	85 	65 	67 	11 	467.89404353 	570.02728118 	368.91296298 	412 	-1.264127114 	-6.286897731 	11.679458665
	5 		West End/Foggy Bottom         	177 	130 	119 	23 	238.43367698 	476.61143911 	426.52402843 	420 	5.824973749 	-2.497227347 	-1.529580515
	6 		Dupont Circle/Conn. Av./K St. 	461 	175 	176 	47 	358.29146621 	408.52409067 	404.28565181 	425 	1.7220834167 	0.7939004668 	5.1236911576
	7 		Shaw/Logan Circle             	268 	378 	265 	100 	403.99445905 	456.72993337 	456.3402816 	414.764 	0.2634315842 	-1.909191145 	-9.110806843

Ward 3 				582 	324 	355 	59 	305.73350515 	359.50119979 	336.06454847 	340 	1.0679805639 	-1.109239996 	1.1710403701
	11 		Friendship Hts./AU Pk.        	18 	23 	18 	4 	235.869874 	674.17368936 	429.05082955 	- 	- 	- 	-
	12 		N. Cleveland Pk./Forest Hills 	100 	48 	62 	13 	320.47537228 	348.06252525 	299.67861239 	296 	-0.791312284 	-3.188513438 	-1.227519163
	13 		Spring Valley/Palisades       	83 	54 	75 	15 	289.0687858 	325.16066473 	443.70627602 	374 	2.6093745491 	2.8382600069 	-15.71000452
	14 		Cathedral Hts./Glover Pk.     	283 	109 	110 	16 	299.06248981 	381.28915129 	332.47649088 	328.75 	0.9509433643 	-2.921677633 	-1.120828385
	15 		Cleveland Pk./Woodley Pk.     	74 	77 	53 	5 	379.76331615 	353.78186252 	373.96656521 	- 	- 	- 	-

Ward 4 				56 	102 	80 	15 	112.03819015 	268.9711719 	245.6050685 	315 	10.890526866 	3.2098064749 	28.254682169
	17 		Takoma/Brightwood             	16 	29 	19 	1 	212.73155212 	265.70406857 	270.87307967 	- 	- 	- 	-
	18 		Brightwood Pk./Crestwood      	40 	73 	59 	14 	101.07793242 	272.34939378 	243.58362761 	313.1 	11.970256166 	2.827986282 	28.539016793

Ward 5 				66 	129 	114 	29 	199.33568156 	277.79638165 	313.57601853 	308 	4.4471435115 	2.0856800872 	-1.778203116
	21 		Edgewood/Bloomingdale         	37 	88 	74 	18 	228.81941581 	303.39722467 	344.85781635 	361.25 	4.6722352039 	3.5521810079 	4.7533165468
	23 		Ivy City/Trinidad             	0 	16 	18 	7 	- 	229.31818956 	168.03227423 	- 	- 	- 	-

Ward 6 				282 	741 	455 	97 	256.5719421 	397.63011492 	348.69855405 	425 	5.1763213507 	1.3402408848 	21.881778707
	8 		Downtown/N. Capitol St.       	90 	347 	146 	33 	500.71713116 	454.27878882 	415.40610352 	470 	-0.631086615 	0.6827524564 	13.142295219
	9 		SW Employment Area/Waterfront 	94 	165 	149 	13 	211.5137457 	263.63421318 	230.44426181 	349 	5.1353302085 	5.7705423733 	51.44660026
	25 		NoMa/Union Station/Stanton Pk.	99 	82 	93 	25 	309.25873425 	387.28083795 	358.80575851 	357.5 	1.4601283107 	-1.587558256 	-0.363917937
	26 		Capitol Hill/Lincoln Pk.      	82 	80 	56 	13 	262.40523482 	355.14360949 	346.12121691 	307 	1.5819599754 	-2.871456958 	-11.30275031
	27 		Near Southeast/Navy Yard      	0 	101 	74 	17 	- 	394.25298243 	454.77366491 	484.9 	- 	4.2258484903 	6.6244678206

Ward 7 				80 	63 	19 	9 	133.31775487 	217.77057527 	156.66166921 	- 	- 	- 	-
	33 		Capitol View/Marshall Hts.    	28 	25 	13 	7 	147.74555613 	217.87951502 	156.66166921 	- 	- 	- 	-
	35 		Fairfax Village/Naylor Gardens	26 	15 	3 	1 	91.015005727 	201.81090079 	- 	- 	- 	- 	-

Ward 8 				110 	102 	9 	3 	122.93435281 	205.35144291 	- 	- 	- 	- 	-
	37 		Sheridan/Barry Farm           	78 	8 	8 	1 	137.80120533 	- 	- 	- 	- 	- 	-
	39 		Congress Hts./Bellevue        	26 	41 	0 	1 	115.36472451 	199.79551528 	- 	- 	- 	- 	-

