Washington, D.C. Total				3175 	3201 	3515 	3661 	547.60309501 	564.57236753 	677.63275948 	695 	2.4122460727 	4.2444727941 	2.5629281172

Ward 1 				236 	248 	219 	218 	654.24159246 	596.76783618 	811.33608422 	825 	2.3461663936 	6.6914722602 	1.6841252411
	1 		Kalorama Hts./Adams Morgan    	32 	28 	23 	17 	1152.7909786 	1085.1254933 	1924.5175531 	2050 	5.9254528074 	13.567686516 	6.5202027765
	2 		Columbia Hts./Mt. Pleasant    	155 	164 	159 	155 	576.42431054 	548.52581837 	769.80702123 	762 	2.830339169 	6.7951621448 	-1.01415303
	3 		Howard Univ./Le Droit Pk.     	61 	75 	48 	62 	655.97086539 	715.56860363 	882.23936249 	935.5 	3.6133997849 	5.5063266995 	6.0369826805

Ward 2 				167 	196 	206 	202 	1268.1334832 	1182.3773064 	1362.3558468 	1455 	1.3840888285 	4.2368746868 	6.8002903529
	4 		Georgetown/Burleith           	164 	165 	197 	170 	1034.1052131 	1059.532911 	1164.8395716 	1337.725 	2.6077611428 	4.7732651469 	14.841994779
	6 		Dupont Circle/Conn. Av./K St. 	23 	15 	21 	22 	922.27889686 	911.09593309 	1195.2266909 	1555 	5.3626808261 	11.284135676 	30.100842953
	7 		Shaw/Logan Circle             	37 	56 	36 	32 	749.3516037 	689.46416959 	907.32443589 	920.5 	2.0783908274 	5.9503555039 	1.4521337233

Ward 3 				517 	532 	494 	497 	1036.4109103 	952.04406492 	1177.5008713 	1195 	1.4340095521 	4.6507080527 	1.4861244811
	11 		Friendship Hts./AU Pk.        	147 	136 	104 	133 	997.21405723 	875.90613231 	1064.0556261 	1038 	0.4016606576 	3.4541596512 	-2.448709016
	12 		N. Cleveland Pk./Forest Hills 	56 	58 	62 	55 	998.36690585 	896.76408696 	1177.5008713 	1200 	1.8565839908 	5.9987167711 	1.910752617
	13 		Spring Valley/Palisades       	156 	192 	168 	179 	1222.0195383 	1069.4500366 	1250.9364095 	1375 	1.1864722152 	5.154639708 	9.9176576493
	14 		Cathedral Hts./Glover Pk.     	14 	11 	22 	16 	964.93429584 	957.1625814 	1207.8879905 	1161.25 	1.8691772215 	3.9412661762 	-3.861118821
	15 		Cleveland Pk./Woodley Pk.     	62 	69 	66 	56 	1297.531123 	1256.800536 	1514.2914431 	1480 	1.3244822288 	3.323491079 	-2.264520693

Ward 4 				577 	617 	767 	752 	554.52018674 	488.15291651 	658.38758395 	684 	2.1207214022 	6.9793716392 	3.8901730044
	10 		Hawthorne/Barnaby Woods       	153 	136 	147 	133 	967.53396948 	867.58854303 	978.46524014 	975 	0.0768989134 	2.3618582802 	-0.354150561
	16 		Colonial Village/Shepherd Pk. 	25 	39 	43 	36 	751.31144636 	730.92415307 	837.16513559 	875 	1.5357087705 	3.6638055507 	4.5194027804
	17 		Takoma/Brightwood             	113 	136 	155 	153 	492.84278551 	396.68502705 	562.16170629 	570 	1.4650900677 	7.5191468074 	1.3943129923
	18 		Brightwood Pk./Crestwood      	283 	318 	390 	397 	518.78187948 	467.06462862 	658.28629355 	680 	2.7430399528 	7.801892911 	3.2985202131
	19 		Lamond Riggs/Queens Chapel    	65 	51 	99 	92 	391.96853117 	271.28137334 	450.74226901 	465 	1.7232378093 	11.379841495 	3.1631670628

Ward 5 				541 	564 	636 	682 	463.27452408 	408.38595572 	558.05944519 	585 	2.3603458878 	7.4526210507 	4.8275421267
	20 		N. Michigan Pk./Michigan Pk.  	81 	69 	118 	107 	442.69387049 	358.0914128 	505.43908367 	520 	1.6225254499 	7.7461814025 	2.8808449516
	21 		Edgewood/Bloomingdale         	131 	209 	162 	180 	471.51508602 	506.73313133 	722.96021237 	735 	4.539200574 	7.7213054152 	1.6653458134
	22 		Brookland/Brentwood           	66 	60 	70 	82 	447.30526498 	423.55723856 	597.61334543 	627.5 	3.4429677911 	8.1783428636 	5.0010018688
	23 		Ivy City/Trinidad             	59 	73 	116 	125 	345.85458632 	271.17900301 	463.91002069 	545 	4.652665989 	14.981531385 	17.47967832
	24 		Woodridge/Fort Lincoln        	182 	129 	139 	162 	525.1225469 	407.43391165 	541.90362679 	547 	0.4090055982 	6.0684031332 	0.940457484

Ward 6 				520 	637 	527 	547 	605.24552607 	634.69604328 	771.83282918 	810 	2.9568728512 	4.9986815134 	4.945004848
	9 		SW Employment Area/Waterfront 	7 	10 	12 	15 	- 	708.65860639 	891.86195025 	760 	- 	1.4087210008 	-14.78501804
	25 		NoMa/Union Station/Stanton Pk.	306 	345 	325 	315 	555.70185657 	563.03681259 	729.29086222 	752 	3.0712633584 	5.958599629 	3.1138656688
	26 		Capitol Hill/Lincoln Pk.      	179 	191 	177 	204 	651.35947091 	648.00418612 	791.5844567 	868.5 	2.9188462626 	6.0323537763 	9.7166565933
	27 		Near Southeast/Navy Yard      	17 	76 	26 	20 	554.52018674 	801.55968046 	660.4133919 	826.5 	4.0716762608 	0.6146912607 	25.148885553

Ward 7 				390 	297 	455 	466 	316.68751621 	237.49916458 	324.1292721 	330 	0.4126201428 	6.7997831076 	1.8112303977
	30 		Mayfair/Hillbrook             	22 	11 	39 	33 	281.29506354 	205.15014044 	354.51639136 	340 	1.9134915216 	10.632167127 	-4.094702448
	31 		Deanwood/Burrville            	118 	82 	119 	123 	311.12444519 	210.37102725 	283.61311308 	318 	0.2188231225 	8.6146078351 	12.124575815
	32 		River Terrace/Benning         	56 	27 	55 	66 	293.97639837 	214.97769208 	268.41955345 	297.8 	0.1293098709 	6.7348537765 	10.94571769
	33 		Capitol View/Marshall Hts.    	100 	86 	106 	116 	327.89954547 	255.9258239 	320.07765619 	325 	-0.088781719 	4.8947736586 	1.5378592382
	34 		Twining/Fairlawn              	79 	69 	96 	113 	328.56185701 	250.80730742 	334.25831185 	329 	0.0133271797 	5.5774437054 	-1.573128225
	35 		Fairfax Village/Naylor Gardens	15 	14 	23 	27 	438.08247601 	332.65238591 	440.61322926 	525 	1.8263888321 	9.5553856922 	19.15211917

Ward 8 				227 	110 	211 	297 	330.86755425 	220.09620856 	323.52152971 	330 	-0.02625158 	8.4376945656 	2.0024850572
	28 		Historic Anacostia            	26 	18 	32 	24 	321.64476528 	204.74065912 	384.90351061 	398.9995 	2.1785149417 	14.275637012 	3.6622137749
	37 		Sheridan/Barry Farm           	11 	22 	26 	33 	311.26912769 	305.98491506 	354.51639136 	335 	0.7374320514 	1.8284089656 	-5.505074471
	38 		Douglas/Shipley Terrace       	64 	16 	34 	48 	348.32168237 	254.33908379 	267.40664948 	308.75 	-1.198703016 	3.9534178087 	15.460853573
	39 		Congress Hts./Bellevue        	90 	29 	85 	131 	325.67973545 	193.47992287 	334.25831185 	340 	0.4312384253 	11.935695563 	1.717739828

