Washington, D.C. Total				3831 	2274 	2204 	2392 	426.43870494 	389.00725233 	429.21805953 	435 	0.1989715956 	2.2601232397 	1.3470869499

Ward 1 				717 	556 	499 	494 	458.83375119 	428.41982921 	465.93582864 	497 	0.8022214851 	3.0142642362 	6.6670492915
	1 		Kalorama Hts./Adams Morgan    	216 	196 	164 	203 	436.92962739 	448.38204348 	473.51437618 	499 	1.3372011165 	2.162254133 	5.3822281013
	2 		Columbia Hts./Mt. Pleasant    	293 	264 	241 	216 	419.63689807 	394.12576881 	425.41966963 	459 	0.9006355448 	3.0945176248 	7.8934597461
	3 		Howard Univ./Le Droit Pk.     	248 	114 	116 	100 	541.78120948 	490.86573025 	592.54882555 	580 	0.6839871415 	3.393456942 	-2.117770724

Ward 2 				1363 	680 	785 	831 	501.48915017 	450.42945007 	476.06486839 	490 	-0.231497443 	1.6983391429 	2.9271497508
	4 		Georgetown/Burleith           	70 	67 	67 	62 	606.25138649 	373.6517029 	455.80678889 	588.25 	-0.300973181 	9.50122911 	29.056875489
	5 		West End/Foggy Bottom         	187 	120 	132 	131 	538.95673035 	433.53834569 	422.88740969 	410 	-2.697724733 	-1.110252468 	-3.047480108
	6 		Dupont Circle/Conn. Av./K St. 	299 	177 	229 	213 	420.78974669 	409.48131824 	405.16057722 	415 	-0.138451814 	0.2681035339 	2.428524229
	7 		Shaw/Logan Circle             	441 	266 	248 	295 	518.78187948 	463.22574126 	521.54425688 	512 	-0.13150245 	2.0223810749 	-1.829999421

Ward 3 				501 	357 	348 	422 	426.5539898 	342.01927106 	369.70995098 	364.5 	-1.559830593 	1.2813289197 	-1.409199555
	11 		Friendship Hts./AU Pk.        	90 	18 	32 	43 	933.02863383 	434.56204899 	516.07457542 	476 	-6.508700137 	1.8382742935 	-7.765268301
	12 		N. Cleveland Pk./Forest Hills 	80 	62 	55 	64 	366.02943719 	303.52802715 	278.54859321 	311.5 	-1.600202725 	0.5198542883 	11.829679846
	13 		Spring Valley/Palisades       	67 	76 	52 	71 	412.71980635 	444.79908194 	402.57868498 	264.9 	-4.337293301 	-9.846287564 	-34.19919884
	14 		Cathedral Hts./Glover Pk.     	192 	111 	139 	166 	403.09352036 	337.71971722 	374.77345796 	364.5 	-1.001372977 	1.537910761 	-2.741244808
	15 		Cleveland Pk./Woodley Pk.     	60 	53 	49 	64 	469.78581309 	378.77021938 	369.70995098 	428.95 	-0.9052429 	2.5194268039 	16.02338505

Ward 4 				146 	81 	78 	89 	302.67464122 	250.80730742 	292.17215168 	319 	0.5267089154 	4.9276869922 	9.1822058231
	17 		Takoma/Brightwood             	32 	19 	24 	28 	259.39093974 	274.35248322 	284.11956507 	355 	3.1875628312 	5.2892159148 	24.947396675
	18 		Brightwood Pk./Crestwood      	114 	60 	53 	60 	309.53985476 	248.75990083 	302.85828861 	305.5 	-0.131284513 	4.1948293984 	0.8722598933

Ward 5 				196 	116 	107 	129 	304.87081784 	315.76128153 	335.77766781 	349 	1.3610164748 	2.0218771804 	3.9378235825
	21 		Edgewood/Bloomingdale         	107 	74 	74 	81 	363.03203078 	349.28756446 	398.83094027 	423.875 	1.5615419214 	3.9467549187 	6.27936732
	23 		Ivy City/Trinidad             	35 	18 	5 	13 	242.09821043 	170.1906729 	- 	289.9 	1.8182582721 	11.240387233 	-

Ward 6 				510 	457 	361 	383 	413.52680038 	353.17763699 	415.29062987 	424 	0.250424333 	3.7228716428 	2.0971747255
	8 		Downtown/N. Capitol St.       	513 	146 	177 	186 	495.14848275 	420.7420545 	518.60683535 	499.9495 	0.0965406763 	3.5099367044 	-3.597587629
	9 		SW Employment Area/Waterfront 	67 	149 	88 	114 	334.32610011 	233.4043514 	311.92377919 	344.5 	0.3002220279 	8.0976009409 	10.443647769
	25 		NoMa/Union Station/Stanton Pk.	134 	94 	107 	103 	390.81568255 	365.92274302 	400.09707024 	430 	0.9600709945 	3.2799004272 	7.4739187013
	26 		Capitol Hill/Lincoln Pk.      	88 	56 	55 	54 	353.34810236 	350.56719358 	379.83899074 	366.5 	0.3661168226 	0.8928851577 	-3.511748678
	27 		Near Southeast/Navy Yard      	50 	75 	39 	42 	525.00726204 	461.58781599 	496.3229479 	505 	-0.38778283 	1.8139784855 	1.7482673609

Ward 7 				128 	18 	14 	26 	219.041238 	158.67401082 	121.35703818 	107.5 	-6.870288436 	-7.491735612 	-11.41840506
	35 		Fairfax Village/Naylor Gardens	44 	3 	7 	19 	212.98878274 	- 	- 	100 	-7.281941959 	- 	-

Ward 8 				270 	9 	12 	18 	207.39746693 	- 	200.04853512 	189.5 	-0.898420445 	- 	-5.272987935
	36 		Woodland/Fort Stanton         	104 	1 	0 	1 	207.39746693 	- 	- 	- 	- 	- 	-
	39 		Congress Hts./Bellevue        	118 	0 	4 	5 	203.21839068 	- 	- 	- 	- 	- 	-

